datetime,download_speed,upload_speed,ping
2024-07-03 18:40,14.46,11.23,54
2024-07-03 18:45,9.46,10.45,40
2024-07-03 18:50,11.24,11.67,46
2024-07-03 18:55,19.92,9.57,77
2024-07-03 19:10,37.96,10.62,76
2024-07-03 19:15,27.16,10.77,53
2024-07-03 19:20,26.28,10.69,40
2024-07-03 19:25,16.16,10.43,44
2024-07-03 19:35,22.75,9.57,47
2024-07-03 19:40,8.30,11.77,40
2024-07-03 19:45,31.79,10.51,41
2024-07-03 19:50,29.13,11.58,94
2024-07-03 19:55,38.80,10.66,51
2024-07-03 20:10,21.29,10.41,65
2024-07-03 20:15,31.41,11.31,54
2024-07-03 20:20,24.21,10.90,51
2024-07-03 20:25,6.26,10.32,54
2024-07-03 20:35,25.62,11.07,61
2024-07-03 20:40,25.09,11.57,57
2024-07-03 20:45,27.42,10.25,72
2024-07-03 20:50,16.27,10.09,64
2024-07-03 20:55,21.52,10.84,68
2024-07-03 21:10,7.08,10.39,46
2024-07-03 21:15,22.29,10.75,60
2024-07-03 21:20,12.06,11.91,62
2024-07-03 21:25,9.96,11.27,49
2024-07-03 21:35,38.22,10.65,58
2024-07-03 21:40,11.65,10.77,62
2024-07-03 21:45,36.45,11.48,53
2024-07-03 21:50,16.24,10.58,70
2024-07-03 21:55,25.43,10.46,59
2024-07-03 22:10,7.05,11.52,67
2024-07-03 22:15,31.66,11.02,63
2024-07-03 22:20,27.57,10.54,66
2024-07-03 22:25,20.88,11.56,54
2024-07-03 22:35,8.21,10.34,50
2024-07-03 22:40,35.10,11.25,58
2024-07-03 22:45,13.61,10.43,65
2024-07-03 22:50,27.93,10.79,44
2024-07-03 22:55,48.61,11.13,38
2024-07-03 23:10,43.32,11.96,38
2024-07-03 23:15,49.86,11.30,35
2024-07-03 23:20,42.47,11.20,38
2024-07-03 23:25,44.93,11.50,40
2024-07-03 23:35,50.18,10.70,35
2024-07-03 23:40,46.43,12.29,35
2024-07-03 23:45,55.81,10.72,35
2024-07-03 23:50,44.48,10.50,36
2024-07-03 23:55,50.36,11.60,38
2024-07-04 00:10,42.65,11.30,36
2024-07-04 00:15,38.87,10.46,35
2024-07-04 00:20,46.23,10.81,39
2024-07-04 00:25,54.09,10.65,33
2024-07-04 00:35,55.49,11.77,34
2024-07-04 00:40,49.99,11.42,40
2024-07-04 00:45,36.80,10.53,37
2024-07-04 00:50,48.67,10.49,38
2024-07-04 00:55,45.34,10.48,35
2024-07-04 01:10,48.34,11.29,39
2024-07-04 01:15,24.27,10.33,36
2024-07-04 01:20,54.90,10.68,37
2024-07-04 01:25,52.13,10.76,34
2024-07-04 01:35,17.09,10.41,59
2024-07-04 01:40,55.79,10.82,39
2024-07-04 01:45,54.53,10.76,34
2024-07-04 01:50,55.70,10.46,47
2024-07-04 01:55,25.59,11.54,33
2024-07-04 02:10,16.48,11.30,42
2024-07-04 02:15,55.78,10.49,33
2024-07-04 02:20,46.66,10.78,38
2024-07-04 02:25,51.35,10.41,48
2024-07-04 02:35,50.22,11.63,46
2024-07-04 02:40,55.29,11.07,49
2024-07-04 02:45,18.11,10.07,32
2024-07-04 02:50,56.10,11.32,32
2024-07-04 02:55,55.36,10.73,35
2024-07-04 03:10,42.54,11.08,42
2024-07-04 03:15,55.80,10.70,38
2024-07-04 03:20,56.40,11.42,39
2024-07-04 03:25,29.71,11.41,34
2024-07-04 03:35,55.38,11.05,31
2024-07-04 03:40,55.65,11.07,34
2024-07-04 03:45,55.15,10.53,36
2024-07-04 03:50,55.52,11.61,36
2024-07-04 03:55,54.61,11.13,47
2024-07-04 04:10,18.25,10.46,41
2024-07-04 04:15,56.14,10.59,32
2024-07-04 04:20,53.40,10.94,46
2024-07-04 04:25,56.09,11.67,32
2024-07-04 04:35,34.31,11.78,45
2024-07-04 04:40,56.10,10.66,35
2024-07-04 04:45,55.47,10.58,31
2024-07-04 04:50,21.43,10.44,41
2024-07-04 04:55,53.06,10.92,37
2024-07-04 05:10,53.66,10.72,40
2024-07-04 05:15,52.11,10.54,42
2024-07-04 05:20,54.73,11.22,37
2024-07-04 05:25,56.11,11.15,34
2024-07-04 05:35,54.77,11.67,42
2024-07-04 05:40,50.87,10.49,33
2024-07-04 05:45,50.37,10.75,39
2024-07-04 05:50,55.79,10.52,43
2024-07-04 05:55,53.80,11.46,37
2024-07-04 06:10,54.91,10.42,44
2024-07-04 06:15,49.70,10.79,48
2024-07-04 06:20,48.36,11.00,37
2024-07-04 06:25,45.82,11.58,37
2024-07-04 06:35,52.66,10.60,45
2024-07-04 06:40,52.59,10.80,44
2024-07-04 06:45,50.16,11.47,40
2024-07-04 06:50,54.47,11.18,48
2024-07-04 06:55,44.06,11.69,38
2024-07-04 07:10,53.05,10.36,47
2024-07-04 07:15,20.05,10.46,45
2024-07-04 07:20,22.10,10.69,40
2024-07-04 07:25,55.71,11.89,38
2024-07-04 07:35,36.91,11.31,51
2024-07-04 07:40,55.54,11.37,39
2024-07-04 07:45,51.80,11.54,43
2024-07-04 07:50,48.52,11.69,69
2024-07-04 07:55,47.62,10.92,41
2024-07-04 08:10,17.11,11.63,64
2024-07-04 08:15,42.22,10.69,40
2024-07-04 08:20,44.81,11.35,39
2024-07-04 08:25,50.57,11.60,40
2024-07-04 08:35,51.70,10.52,39
2024-07-04 08:40,55.77,10.98,39
2024-07-04 08:45,43.66,10.98,41
2024-07-04 08:50,43.32,10.81,44
2024-07-04 08:55,44.70,10.66,41
2024-07-04 09:10,40.53,11.28,38
2024-07-04 09:15,40.73,10.64,40
2024-07-04 09:20,51.30,10.95,40
2024-07-04 09:25,33.34,11.27,38
2024-07-04 09:35,43.03,10.64,45
2024-07-04 09:40,43.83,8.99,49
2024-07-04 09:45,29.97,10.56,45
2024-07-04 09:50,43.85,7.77,122
2024-07-04 09:55,33.22,10.79,37
2024-07-04 10:10,53.63,11.78,47
2024-07-04 10:15,45.87,11.43,40
2024-07-04 10:20,46.02,11.34,53
2024-07-04 10:25,56.41,10.80,45
2024-07-04 10:35,46.62,8.98,60
2024-07-04 10:40,45.99,11.62,44
2024-07-04 10:45,48.81,10.22,51
2024-07-04 10:50,48.45,11.05,55
2024-07-04 10:55,20.35,9.50,75
2024-07-04 11:10,40.85,9.60,40
2024-07-04 11:15,45.21,7.24,41
2024-07-04 11:20,47.78,5.14,41
2024-07-04 11:25,42.66,11.73,42
2024-07-04 11:35,10.24,11.13,40
2024-07-04 11:40,46.90,11.28,41
2024-07-04 11:45,33.77,11.45,53
2024-07-04 11:50,46.07,11.60,43
2024-07-04 11:55,39.16,6.61,41
2024-07-04 12:10,35.68,10.63,83
2024-07-04 12:15,29.27,10.11,46
2024-07-04 12:20,31.48,10.37,50
2024-07-04 12:25,4.06,11.52,60
2024-07-04 12:35,34.21,6.12,131
2024-07-04 12:40,42.66,11.25,43
2024-07-04 12:45,31.77,10.52,39
2024-07-04 12:50,32.09,10.44,47
2024-07-04 12:55,41.76,11.22,39
2024-07-04 13:10,29.16,11.04,41
2024-07-04 13:15,24.26,10.72,36
2024-07-04 13:20,17.60,11.73,39
2024-07-04 13:25,32.72,12.10,50
2024-07-04 13:35,44.77,10.46,37
2024-07-04 13:40,47.32,11.01,40
2024-07-04 13:45,33.97,10.66,43
2024-07-04 13:50,30.77,11.37,48
2024-07-04 13:55,24.20,11.57,64
2024-07-04 14:10,33.75,11.81,73
2024-07-04 14:15,34.30,10.25,90
2024-07-04 14:20,34.15,10.68,44
2024-07-04 14:25,31.11,10.50,44
2024-07-04 14:35,30.13,11.27,73
2024-07-04 14:40,33.38,10.98,94
2024-07-04 14:45,32.11,11.28,44
2024-07-04 14:50,21.30,10.43,69
2024-07-04 14:55,27.48,10.74,39
2024-07-04 15:10,13.73,10.66,92
2024-07-04 15:15,30.99,11.41,56
2024-07-04 15:20,9.32,11.65,76
2024-07-04 15:25,17.56,10.30,78
2024-07-04 15:35,12.68,10.53,51
2024-07-04 15:40,13.69,10.60,72
2024-07-04 15:45,2.09,10.34,49
2024-07-04 15:50,33.93,10.43,48
2024-07-04 15:55,17.81,10.49,75
2024-07-04 16:10,23.52,10.44,50
2024-07-04 16:15,13.91,10.79,66
2024-07-04 16:20,15.12,10.39,49
2024-07-04 16:25,23.18,11.35,73
2024-07-04 16:35,23.27,9.95,56
2024-07-04 16:40,16.24,9.45,101
2024-07-04 16:45,5.89,10.95,110
2024-07-04 16:50,16.72,10.42,56
2024-07-04 16:55,17.25,10.44,36
2024-07-04 17:10,44.71,10.81,38
2024-07-04 17:15,18.73,10.43,40
2024-07-04 17:20,18.56,8.44,36
2024-07-04 17:25,35.67,10.92,41
2024-07-04 17:35,12.42,10.28,36
2024-07-04 17:40,48.56,11.20,38
2024-07-04 17:45,14.01,11.30,37
2024-07-04 17:50,35.26,10.74,37
2024-07-04 17:55,34.59,10.51,37
2024-07-04 18:10,31.12,11.16,37
2024-07-04 18:15,44.49,11.41,40
2024-07-04 18:20,35.65,11.22,40
2024-07-04 18:25,40.33,10.22,37
2024-07-04 18:35,31.61,10.76,42
2024-07-04 18:40,27.34,10.41,36
2024-07-04 18:45,37.14,11.73,36
2024-07-04 18:50,11.21,9.93,45
2024-07-04 18:55,16.52,10.99,39
2024-07-04 19:10,14.31,10.74,37
2024-07-04 19:15,6.71,11.58,39
2024-07-04 19:20,7.57,11.74,37
2024-07-04 19:25,22.68,9.76,37
2024-07-04 19:35,26.01,11.39,41
2024-07-04 19:40,30.52,11.05,37
2024-07-04 19:45,42.80,10.63,37
2024-07-04 19:50,26.88,10.71,37
2024-07-04 19:55,20.30,11.14,39
2024-07-04 20:10,31.27,11.06,40
2024-07-04 20:15,27.16,10.47,36
2024-07-04 20:20,23.36,10.65,40
2024-07-04 20:25,27.73,10.53,49
2024-07-04 20:35,32.99,11.85,38
2024-07-04 20:40,31.90,11.08,51
2024-07-04 20:45,38.85,10.40,37
2024-07-04 20:50,7.81,10.38,40
2024-07-04 20:55,13.24,10.89,38
2024-07-04 21:10,1.15,9.07,49
2024-07-04 21:15,22.18,11.21,38
2024-07-04 21:20,6.74,11.43,39
2024-07-04 21:25,10.28,11.34,39
2024-07-04 21:35,2.76,11.47,41
2024-07-04 21:40,4.11,11.53,47
2024-07-04 21:45,10.79,10.93,39
2024-07-04 21:50,4.51,11.83,42
2024-07-04 21:55,7.05,11.50,41
2024-07-04 22:10,1.49,10.79,38
2024-07-04 22:15,4.40,11.10,45
2024-07-04 22:20,3.72,6.77,49
2024-07-04 22:25,14.39,7.47,41
2024-07-04 22:35,2.45,10.45,37
2024-07-04 22:40,35.92,8.46,42
2024-07-04 22:45,4.15,7.92,48
2024-07-04 22:50,39.77,6.96,54
2024-07-04 22:55,15.42,7.02,41
2024-07-04 22:58,14.16,10.37,36
2024-07-04 23:07,25.24,12.54,36
2024-07-04 23:10,37.12,10.76,35
2024-07-04 23:15,42.27,11.55,36
2024-07-04 23:20,34.58,11.59,38
2024-07-04 23:25,44.31,11.93,32
